pid,X,Y,Z,Type,Comment,Digitised_by
5,950.8044631,2154.281498,523.5184489,Path,,GO
5,962.713788,2140.423375,517.2249991,Path,,GO
5,974.5687038,2126.628564,510.6878258,Path,,GO
5,986.3242835,2112.949344,503.7647584,Path,,GO
5,997.9356007,2099.437993,496.3136263,Path,,GO
5,1009.357728,2086.14679,488.1922589,Path,,GO
5,1020.54574,2073.128012,479.2584858,Path,,GO
5,1027.017506,2065.597229,473.6055802,Path,,GO
5,1033.399157,2058.171309,467.7397313,Path,,GO
5,1039.702975,2050.835957,461.689972,Path,,GO
5,1045.941244,2043.57688,455.4853353,Path,,GO
5,1052.126249,2036.379784,449.1548541,Path,,GO
5,1058.270274,2029.230374,442.7275615,Path,,GO
5,1064.385601,2022.114357,436.2324903,Path,,GO
5,1070.484516,2015.017439,429.6986735,Path,,GO
5,1076.579302,2007.925325,423.155144,Path,,GO
5,1082.682242,2000.823722,416.6309349,Path,,GO
5,1088.805621,1993.698335,410.1550791,Path,,GO
5,1094.961723,1986.534871,403.7566095,Path,,GO
5,1101.162831,1979.319036,397.4645592,Path,,GO
5,1107.42123,1972.036535,391.3079609,Path,,GO
5,1113.749203,1964.673075,385.3158478,Path,,GO
5,1120.159033,1957.214361,379.5172528,Path,,GO
5,1127.759324,1948.388106,372.7894681,Path,,GO
5,1135.383808,1939.559835,366.0355293,Path,,GO
5,1143.040591,1930.706162,359.317665,Path,,GO
5,1150.737773,1921.803702,352.6981037,Path,,GO
5,1158.483459,1912.829071,346.2390739,Path,,GO
5,1166.28575,1903.758882,340.0028042,Path,,GO
5,1174.152749,1894.569752,334.0515231,Path,,GO
5,1182.092558,1885.238294,328.4474591,Path,,GO
5,1188.441629,1876.587733,324.2239288,Path,,GO
5,1194.805166,1867.175202,320.4270404,Path,,GO
5,1201.981542,1858.428933,316.9267353,Path,,GO
5,1210.769129,1851.77716,313.5929546,Path,,GO
5,1218.367266,1849.725037,311.2564496,Path,,GO
5,1226.916772,1849.869791,308.9852087,Path,,GO
5,1235.61093,1850.968229,307.0175968,Path,,GO
5,1243.643021,1851.77716,305.5919792,Path,,GO
5,1261.909899,1852.141444,303.5548722,Path,,GO
5,1280.297044,1852.136594,302.3678443,Path,,GO
5,1298.713221,1851.948667,301.5289476,Path,,GO
5,1317.067195,1851.763721,300.5362343,Path,,GO
5,1327.924543,1851.610497,299.6738662,Path,,GO
5,1338.759537,1851.342368,298.5750641,Path,,GO
5,1349.572703,1851.030192,297.2674542,Path,,GO
5,1360.364567,1850.744825,295.7786624,Path,,GO
5,1371.135658,1850.557125,294.136315,Path,,GO
5,1381.886502,1850.53795,292.3680379,Path,,GO
5,1392.617625,1850.758155,290.5014573,Path,,GO
5,1403.329555,1851.288599,288.5641993,Path,,GO
5,1419.217464,1852.947001,285.592331,Path,,GO
5,1435.040823,1855.285419,282.7355735,Path,,GO
5,1445.008862,1856.790575,281.0991223,Path,,GO
5,1455.000544,1858.269638,279.5693529,Path,,GO
5,1465.011902,1859.724996,278.1259936,Path,,GO
5,1475.038965,1861.159038,276.7487728,Path,,GO
5,1485.077767,1862.57415,275.4174187,Path,,GO
5,1495.124336,1863.972722,274.1116598,Path,,GO
5,1505.174707,1865.357143,272.8112243,Path,,GO
5,1515.224908,1866.729799,271.4958407,Path,,GO
5,1525.270972,1868.09308,270.1452371,Path,,GO
5,1535.30893,1869.449374,268.739142,Path,,GO
5,1545.334814,1870.801068,267.2572836,Path,,GO
5,1555.344654,1872.150552,265.6793904,Path,,GO
5,1565.334482,1873.500214,263.9851906,Path,,GO
5,1575.300329,1874.852441,262.1544126,Path,,GO
5,1585.238227,1876.209622,260.1667848,Path,,GO
5,1595.144207,1877.574145,258.0020353,Path,,GO
6,1391.348025,2403.832641,259.8645929,Path,,GO
6,1423.68412,2385.666037,247.0006448,Path,,GO
6,1440.657669,2376.867389,239.0247074,Path,,GO
6,1457.488295,2367.912111,230.3144702,Path,,GO
6,1473.666055,2358.540403,221.0911898,Path,,GO
6,1488.681008,2348.492466,211.5761231,Path,,GO
6,1513.182718,2325.328709,192.5556576,Path,,GO
6,1523.315527,2309.006545,182.1724959,Path,,GO
6,1531.565624,2291.165506,172.3150802,Path,,GO
6,1539.505997,2273.271348,162.2789279,Path,,GO
6,1548.709634,2256.789826,151.3595563,Path,,GO
